	miRNA_names	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	change
275	hsa-mir-4709	1.69876783109335	1.00486333684228	0.262291105112456	3.83109955791847	0.000127571868802031	0.000395564571609175	Up
276	hsa-mir-4713	0.490119504781876	1.38599779777783	0.475855227170477	2.91264594490057	0.00358380686382241	0.00830441267907235	Up
280	hsa-mir-4728	9.42292725695427	2.14700899274633	0.34894403684136	6.15287486263139	7.609084368091e-10	4.78761366809813e-09	Up
282	hsa-mir-4741	0.640594333717795	1.15497553298898	0.418731491448124	2.75827244087771	0.0058107746683658	0.0130100980886528	Up
284	hsa-mir-4745	1.11309521173257	1.83566429613649	0.451005696939627	4.07015766894453	4.69813306023685e-05	0.000158194949137663	Up
285	hsa-mir-4746	8.74704156148801	1.36629312343594	0.196450925632727	6.95488259490457	3.52855769772311e-12	3.07234013680537e-11	Up
286	hsa-mir-4758	0.646959525567932	1.56959050690901	0.44076333350636	3.56107322817125	0.000369342050070159	0.00106836525892777	Up
287	hsa-mir-4766	1.46954297383787	1.08589459363522	0.327040081624583	3.32037158332704	0.000898977066267141	0.0024292107558692	Up
290	hsa-mir-4777	1.06812995730384	1.71574484057113	0.338036590541649	5.07561870098714	3.86237144866186e-07	1.61619620812938e-06	Up
292	hsa-mir-4797	1.37651826586388	1.06355246541085	0.32976031242753	3.22522882629965	0.00125872017650952	0.00326812286792532	Up
294	hsa-mir-483	28.0148674988424	2.59227361069253	0.375449509217467	6.90445332075543	5.03971252002618e-12	4.25905116888487e-11	Up
308	hsa-mir-500a	1001.62851082652	1.29304823417681	0.1324795150158	9.76036358543889	1.66557014946562e-22	4.63135957690116e-21	Up
309	hsa-mir-500b	34.9647973038641	1.09036969362994	0.143424760724392	7.60238112389264	2.90731003938346e-14	3.38662331614668e-13	Up
310	hsa-mir-501	190.088489177239	1.65186143228729	0.142377631415106	11.6019729775616	4.0268601301051e-31	3.15559402922781e-29	Up
312	hsa-mir-503	27.4534103903372	1.34815734061182	0.183479290210148	7.34773575299809	2.01592531723171e-13	2.14534274500461e-12	Up
314	hsa-mir-508	19.0802159587738	2.02399296906353	0.303704643384155	6.66434647330494	2.65845637804422e-11	2.04606196238761e-10	Up
315	hsa-mir-509-1	3.26356986031238	3.11988944666978	0.445562373493465	7.00213849344607	2.52084700547854e-12	2.31167033906649e-11	Up
316	hsa-mir-509-2	3.26538725094597	2.30608810546994	0.435507825944504	5.29517030025496	1.18905544933539e-07	5.28332885220157e-07	Up
317	hsa-mir-509-3	3.33787576498615	2.91882883047596	0.448452046792155	6.50867545672894	7.58163203854311e-11	5.4011296010117e-10	Up
318	hsa-mir-5092	0.708524412133733	1.19284769901965	0.389622136450395	3.06155012106587	0.00220194123678533	0.0053769783175891	Up
